date,resting_hr,sleep_min,spo2,stress
2026-08-18,62,412,97,42
2026-08-19,64,385,96,55
2026-08-20,61,438,97,38
2026-08-21,63,401,96,48
2026-08-22,66,356,95,61
2026-08-23,60,455,98,35
2026-08-24,62,420,97,44
2026-08-25,65,378,96,58
2026-08-26,63,405,96,50
2026-08-27,61,440,97,40
2026-08-28,64,390,96,54
2026-08-29,67,350,95,63
2026-08-30,62,460,98,33
2026-08-31,63,415,97,46
2026-09-01,64,398,96,52
2026-09-02,61,430,97,41
2026-09-03,65,372,96,57
2026-09-04,63,408,96,49
2026-09-05,62,445,97,39
2026-09-06,66,380,95,60
2026-09-07,63,410,97,47
2026-09-08,61,435,97,42
2026-09-09,64,392,96,53
2026-09-10,62,425,97,45
2026-09-11,65,370,96,59
2026-09-12,60,462,98,32
2026-09-13,63,418,97,43
2026-09-14,64,395,96,51
2026-09-15,62,432,97,40
